file,status,pair,date
UHA-1.json,UPDATED,CHI@FLA,2025-10-07
UHA-10.json,UPDATED,MTL@DET,2025-10-09
UHA-11.json,UPDATED,OTT@TBL,2025-10-09
UHA-12.json,UPDATED,PHI@FLA,2025-10-09
UHA-13.json,UPDATED,NYI@PIT,2025-10-09
UHA-14.json,UPDATED,NJD@CAR,2025-10-09
UHA-15.json,UPDATED,MIN@STL,2025-10-09
UHA-16.json,UPDATED,CBJ@NSH,2025-10-09
UHA-17.json,UPDATED,DAL@WPG,2025-10-09
UHA-18.json,UPDATED,UTA@COL,2025-10-09
UHA-19.json,UPDATED,CGY@VAN,2025-10-09
UHA-2.json,UPDATED,PIT@NYR,2025-10-07
UHA-20.json,UPDATED,VGK@SJS,2025-10-09
UHA-21.json,UPDATED,ANA@SEA,2025-10-09
UHA-3.json,UPDATED,COL@LAK,2025-10-07
UHA-39.json,UPDATED,COL@BUF,2025-10-13
UHA-4.json,UPDATED,MTL@TOR,2025-10-08
UHA-40.json,UPDATED,TBL@BOS,2025-10-13
UHA-41.json,UPDATED,NSH@OTT,2025-10-13
UHA-42.json,UPDATED,WPG@NYI,2025-10-13
UHA-43.json,UPDATED,DET@TOR,2025-10-13
UHA-44.json,UPDATED,FLA@PHI,2025-10-13
UHA-45.json,UPDATED,NJD@CBJ,2025-10-13
UHA-46.json,UPDATED,STL@VAN,2025-10-13
UHA-47.json,UPDATED,LAK@MIN,2025-10-13
UHA-48.json,UPDATED,UTA@CHI,2025-10-13
UHA-49.json,NO_SCHED_MAP,,
UHA-5.json,UPDATED,BOS@WSH,2025-10-08
UHA-50.json,NO_SCHED_MAP,,
UHA-51.json,NO_SCHED_MAP,,
UHA-52.json,NO_SCHED_MAP,,
UHA-53.json,NO_SCHED_MAP,,
UHA-54.json,NO_SCHED_MAP,,
UHA-55.json,NO_SCHED_MAP,,
UHA-56.json,NO_SCHED_MAP,,
UHA-57.json,NO_SCHED_MAP,,
UHA-58.json,NO_SCHED_MAP,,
UHA-59.json,NO_SCHED_MAP,,
UHA-6.json,UPDATED,CGY@EDM,2025-10-08
UHA-60.json,NO_SCHED_MAP,,
UHA-7.json,UPDATED,LAK@VGK,2025-10-08
UHA-8.json,UPDATED,CHI@BOS,2025-10-09
UHA-9.json,UPDATED,NYR@BUF,2025-10-09
UHA-Farm-1.json,NO_SCHED_MAP,,
UHA-Farm-10.json,NO_SCHED_MAP,,
UHA-Farm-11.json,NO_SCHED_MAP,,
UHA-Farm-12.json,NO_SCHED_MAP,,
UHA-Farm-13.json,NO_SCHED_MAP,,
UHA-Farm-14.json,NO_SCHED_MAP,,
UHA-Farm-15.json,NO_SCHED_MAP,,
UHA-Farm-16.json,NO_SCHED_MAP,,
UHA-Farm-17.json,NO_SCHED_MAP,,
UHA-Farm-2.json,NO_SCHED_MAP,,
UHA-Farm-3.json,NO_SCHED_MAP,,
UHA-Farm-34.json,NO_SCHED_MAP,,
UHA-Farm-35.json,NO_SCHED_MAP,,
UHA-Farm-36.json,NO_SCHED_MAP,,
UHA-Farm-37.json,NO_SCHED_MAP,,
UHA-Farm-38.json,NO_SCHED_MAP,,
UHA-Farm-39.json,NO_SCHED_MAP,,
UHA-Farm-4.json,NO_SCHED_MAP,,
UHA-Farm-40.json,NO_SCHED_MAP,,
UHA-Farm-41.json,NO_SCHED_MAP,,
UHA-Farm-42.json,NO_SCHED_MAP,,
UHA-Farm-43.json,NO_SCHED_MAP,,
UHA-Farm-44.json,NO_SCHED_MAP,,
UHA-Farm-45.json,NO_SCHED_MAP,,
UHA-Farm-46.json,NO_SCHED_MAP,,
UHA-Farm-47.json,NO_SCHED_MAP,,
UHA-Farm-48.json,NO_SCHED_MAP,,
UHA-Farm-49.json,NO_SCHED_MAP,,
UHA-Farm-5.json,NO_SCHED_MAP,,
UHA-Farm-50.json,NO_SCHED_MAP,,
UHA-Farm-51.json,NO_SCHED_MAP,,
UHA-Farm-52.json,NO_SCHED_MAP,,
UHA-Farm-53.json,NO_SCHED_MAP,,
UHA-Farm-54.json,NO_SCHED_MAP,,
UHA-Farm-55.json,NO_SCHED_MAP,,
UHA-Farm-6.json,NO_SCHED_MAP,,
UHA-Farm-7.json,NO_SCHED_MAP,,
UHA-Farm-8.json,NO_SCHED_MAP,,
UHA-Farm-9.json,NO_SCHED_MAP,,
