Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacity #1,ArenaCapacity #2,TicketPrice #1,TicketPrice #2,Attendance #1,Attendance #2,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,CoachID,Empty3,Morale,PowerRanking,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,Empty4,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal,
1,San Diego Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,2000,1000,35,15,3827,1944,72,93780,10420,2000677,2000677,10420,5771,163105,93780,10,100,110,,43,2,,False,0,False,1,2772785,1906860,,,W3,3,0,0,0,0,0,0,3,2,0,0,1,0,0,0,6,54,9,2,1,0,0,1,0,0,0,34,2,9,5,6,0,1,74,86,28,27,23,23,1,24,16,13,1,5176,3348,2309,1203,2330,1193,1,54,83,137,12,34,21,50,9,24,43,83,0
2,Providence Bruins,PRO,Providence,Atlantic Division,Eastern Conference,0,0,0,2000,1000,35,15,3668,1901,72,60732,6748,1295600,1295600,6748,5569,156895,60732,10,100,146,,53,3,,False,0,False,2,2667215,1234884,,,W2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,31,5,2,2,0,0,0,0,0,0,31,5,4,1,8,2,0,66,29,12,17,33,16,0,16,13,2,0,2483,3162,1555,670,2319,931,0,31,47,78,16,24,15,26,20,29,38,53,0
3,Rochester Americans,ROC,Rochester,North Division,Eastern Conference,0,0,0,2000,1000,35,15,3549,1931,72,31590,3510,673929,673929,3510,5480,153180,31590,10,100,111,,38,24,,False,0,False,3,2604060,642330,,,L2,1,3,0,0,0,0,0,4,1,3,0,0,0,0,0,2,4,12,2,1,1,0,0,0,0,0,2,2,15,3,17,3,1,77,101,37,15,31,31,0,2,0,2,0,5080,6494,2826,1580,4934,1327,0,4,8,12,39,37,36,72,38,57,26,50,0
4,Calgary Wranglers,CGY,Calgary,Pacific Division,Western Conference,0,0,0,2000,1000,35,15,3461,1941,72,89253,8535,1638800,1638800,8535,5402,150250,89253,10,100,171,,41,18,,False,0,False,4,2554250,1561905,,,L2,2,2,0,0,0,0,0,4,1,2,0,0,0,1,0,4,12,13,2,1,1,0,0,0,0,0,4,3,13,3,23,4,0,82,65,29,16,25,40,4,2,3,6,2,7022,4829,2849,1627,3273,1451,0,12,20,32,51,40,30,52,28,58,26,45,1
5,Charlotte Checkers,CHA,Charlotte,Atlantic Division,Eastern Conference,0,0,0,2000,1000,35,15,3704,1906,72,100044,11116,2134216,2134216,11116,5610,158230,100044,10,100,54,,43,6,,False,0,False,5,2689910,2034228,,,W2,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,6,27,14,2,2,0,0,0,0,0,0,19,7,12,6,17,7,1,121,94,44,33,29,59,0,4,8,15,0,5799,5470,3131,1589,3729,1641,1,27,45,72,50,56,38,52,42,65,39,64,0
6,Rockford IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,2000,1000,35,15,3705,1861,72,60759,5395,1035800,1035800,5395,5566,157590,60759,10,100,103,,44,29,,False,0,False,6,2679030,987285,,,L1,1,2,0,0,0,0,1,4,0,2,0,0,0,1,1,3,11,39,2,0,2,0,0,0,0,0,6,34,18,2,22,9,3,97,114,37,36,22,37,10,5,2,3,1,6618,5415,2967,1635,3670,1397,0,11,16,27,71,111,28,60,26,70,35,66,0
7,Colorado Eagles,COL,Loveland,Pacific Division,Western Conference,0,0,0,2000,1000,35,15,3832,1985,72,75681,8409,1614600,1614600,8409,5817,163895,75681,10,100,1,,39,26,,False,0,False,7,2786215,1538847,,,L1,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,13,30,2,0,2,0,0,0,0,0,7,27,6,1,7,2,0,84,67,20,33,31,20,0,4,4,5,0,3825,4514,2461,1167,3227,1249,0,13,23,36,14,47,18,34,25,50,28,62,0
8,Cleveland Monsters,CLV,Cleveland,North Division,Eastern Conference,0,0,0,2000,1000,35,15,3769,1808,72,80013,7551,1449828,1449828,7551,5577,159035,80013,10,100,172,,43,8,,False,0,False,8,2703595,1381833,,,W2,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,6,14,4,2,2,0,0,0,0,0,0,12,2,18,4,17,2,0,98,67,25,26,31,41,0,3,4,7,0,6329,5161,2910,1629,3486,1522,1,14,23,37,39,34,24,57,35,71,29,47,0
9,Texas Stars,TEX,Cedar Park,Central Division,Western Conference,0,0,0,2000,1000,35,15,3700,1786,72,39330,4370,839100,839100,4370,5486,156290,39330,10,100,123,,39,21,,False,0,False,9,2656930,799710,,,W1,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,10,14,2,1,1,0,0,0,0,0,9,12,18,5,9,3,0,42,81,25,6,18,18,0,0,6,4,0,4205,4656,1939,1107,3617,908,0,10,18,28,23,34,28,49,19,37,24,42,0
10,Grand Rapids Griffins,GRG,Grand Rapids,Central Division,Western Conference,0,0,0,2000,1000,35,15,2000,845,72,73791,8199,1574283,1574283,8199,2845,82675,73791,10,100,32,,45,1,,False,0,False,10,2893625,1500417,,,W4,4,0,0,0,0,0,0,4,3,0,0,0,0,1,0,8,51,7,1,1,0,0,0,0,0,0,25,2,16,2,10,1,3,101,106,46,27,38,36,3,9,18,23,1,5863,5985,2852,1532,4461,1449,2,51,63,114,30,37,26,66,21,48,31,81,0
